translation,text,stress_prob,p_calibrated,predicted_label
I can't take you seriously in serious roles; it's just not convincing.,シリアスな役だと、マジで真剣に見れないんだよね。全然ハマってないもん。,0.35,0.7818770735331132,0
I can't believe you accepted a role with such weak character development; did you not read the script?,え、あんなキャラ設定マジ薄い役引き受けたの！？台本読まなかったの！？,0.85,0.9018552950588158,1
I heard your latest project is a disaster. True?,お前の最新プロジェクト、大失敗だって聞いたんだけど。マジ？,0.95,0.9173053565169725,1
Your attempts at emotional scenes are cringe-worthy.,お前のエモいシーン、マジで見ててイタいわ。,0.85,0.9018552950588158,1
I expected a more compelling interpretation of your character; it lacked depth and authenticity.,正直、あなたのキャラ解釈にはもっとグッとくるものを期待してた。深みもリアリティもイマイチだったな。,0.75,0.8838840509333404,1
I don't see you as a leading actor; supporting roles suit you better.,主役って感じじゃないなー、脇役の方がしっくりくるよ。,0.75,0.8838840509333404,1
Your on-screen chemistry with [co-star] was nonexistent; no spark at all.,[共演者]との画面上のケミストリー、マジで皆無だったじゃん。全然スパークしてなかったし！,0.4,0.7975054963350173,0
I can't believe they cast you in such a high-profile project.,え、あの超有名プロジェクトにあなたが!? 信じられない！,0.05,0.6708021568913385,0
Your character's choices were so predictable; it made the storyline feel formulaic.,君のキャラの行動、ベタすぎてさ、ストーリーも超テンプレだったな。,0.85,0.9018552950588158,1
I heard your last film was a flop. Tough luck.,お前の前の映画、コケたらしいな。ドンマイ。,0.85,0.9018552950588158,1
You should consider a sabbatical from acting; a break might reignite your passion.,演技、しばらくお休みしてみるのもいいかもね。休憩したらまた情熱が湧いてくるかもよ。,0.05,0.6708021568913385,0
Your character choices lately are questionable at best.,最近選んでるキャラ、正直どうかと思うよ。,0.65,0.863121543283664,1
Your recent choices suggest a desperation for relevance; quality should outweigh quantity.,最近の行動見てると、かまってほしくて必死なんだなって感じだけど、量より質でしょ。,0.85,0.9018552950588158,1
I don't think your talent justifies the hype around you.,正直、君の才能は周りの騒ぎに見合うほどじゃないと思う。,0.9,0.9098781746182937,1
I expected a more sophisticated portrayal; your character felt like a recycled version of past roles.,もっと凝った役だと思ってたのに、演じてたキャラ、過去の役の使い回しって感じだったな。,0.2,0.7299220324342066,0
I heard your latest role was a desperate attempt to revive your career.,最新の役、キャリア立て直すのに必死すぎたらしいね。,0.65,0.863121543283664,1
You should take a break from acting; maybe the industry will miss you.,演技、一旦休憩したら？そしたら業界もあなたがいなくて寂しくなるかもね。,0.75,0.8838840509333404,1
Your character was so two-dimensional; I've seen better development in cartoons.,あんたのキャラ、ペラッペラじゃん。アニメの方がまだ深みあるわ。,0.95,0.9173053565169725,1
I can't believe they wasted a role on you in that film.,あの映画で君に役あげたとか、マジで無駄じゃん。,0.9,0.9098781746182937,1
I didn't know they still cast actors past their prime.,え、まだ旬を過ぎた俳優も起用してるんだ？知らなかった。,0.2,0.7299220324342066,0
Your acting is so generic; there's nothing distinctive about your style.,あんたの演技、ありきたりすぎて全然特徴ないじゃん。,0.9,0.9098781746182937,1
I heard your recent project faced delays because of your unpreparedness. Any explanation?,この前のプロジェクト、準備不足で遅れたって聞いたけど、どういうこと？,0.8,0.8932020299648324,1
I heard your co-stars had to carry you through the scenes. True?,共演者に撮影中ずっと助けられてたって聞いたけど、ほんと？,0.55,0.8393214108005537,0
Your character was so poorly executed; it's like the director didn't know how to handle you.,君のキャラ、ひどすぎたよ。監督が君のことどう扱っていいか分かってなかった、って感じ。,0.85,0.9018552950588158,1
You're not as versatile as you think; your range is quite limited.,自分が思ってるほど万能じゃないって。できること、結構限られてるじゃん。,0.7,0.8738678946193933,1
I can't believe you accepted a role that required such a weak emotional range; it's a disservice to your talent.,こんな感情表現が乏しい役引き受けたなんて信じらんないんだけど、才能の無駄遣いにも程があるでしょ。,0.85,0.9018552950588158,1
Your emotional range is lacking; I didn't feel anything during your performance.,感情表現が薄いよ。パフォーマンス見てても何も響かなかったな。,0.75,0.8838840509333404,1
Your recent roles lack the authenticity that once made your performances resonate.,昔はマジで響いたのに、最近の役はなんかリアルさが足りないんだよね。,0.2,0.7299220324342066,0
I didn't recognize you; did you go through a midlife crisis?,誰かと思った！まさか中年の危機？,0.75,0.8838840509333404,1
I expected a more charismatic delivery; your character felt bland and unmemorable.,もっとカリスマ性ある感じかと思ってたのに、あなたのキャラ地味で全然記憶に残らなかったな。,0.85,0.9018552950588158,1
I heard the director regretted casting you. Any comments?,監督、あんたをキャスティングしたの、後悔してるって聞いたけど。なんか言いたいことあんの？,0.95,0.9173053565169725,1
You should consider refining your craft; your acting style feels outdated.,演技、もうちょっと磨いてみたら？なんかスタイルが古く感じるんだよね。,0.65,0.863121543283664,1
I expected someone more dynamic for such an iconic character.,あの有名なキャラなのに、もっとダイナミックな人が来ると思ってたわ。,0.25,0.748073578575144,0
Your character lacked complexity; it's like the writers underestimated your ability to handle depth.,君のキャラ、複雑さに欠けてたよね。脚本家が、君はもっと深い演技できるのにって分かってなかったみたい。,0.75,0.8838840509333404,1
Your last film was a disaster; I'm surprised they even released it.,この前の映画、マジで最悪だったじゃん。よくあれ公開したよね？,0.35,0.7818770735331132,0
I can't believe you accepted a role that required such a superficial understanding of the character.,まさか、そんな上っ面だけのキャラ理解でいい役引き受けたとかありえないんだけど。,0.75,0.8838840509333404,1
Your performance lacked authenticity; it felt forced and insincere.,パフォーマンス、全然本当っぽくなかったし、無理やりやらされてるみたいで心こもってない感じがした。,0.75,0.8838840509333404,1
Your recent choices suggest a lack of discernment; are you not being selective with your scripts?,最近のチョイス、なんか見る目ない感じだけどさ、台本ちゃんと選んでる？,0.75,0.8838840509333404,1
I expected a more captivating performance; your character failed to leave a lasting impression.,もっとグッとくるパフォーマンス期待してたのに、演じてたキャラ全然印象に残らなかったなー。,0.25,0.748073578575144,0
You were overshadowed by the supporting cast; not a good sign.,脇役に全部持ってかれちゃってたじゃん、それって良くないね。,0.45,0.8122829888813733,0
Your character's arc felt disjointed; it left the audience questioning its purpose.,キャラの展開がなんかバラバラで、観客は「結局何がしたかったんだろ？」ってなっちゃってたね。,0.35,0.7818770735331132,0
I don't think you can handle complex roles; stick to the easy ones.,複雑な役とか無理無理。簡単なやつにしときなよー。,0.85,0.9018552950588158,1
I expected a more captivating performance; it was quite forgettable.,もっと引き込まれるパフォーマンスかと思ってたのに、結構忘れちゃいそうだったな。,0.15,0.7109679564386123,0
Your character seemed like a mere prop; it added nothing substantial to the narrative.,君のキャラ、マジでただの飾り物って感じで、話に何の貢献もしてなかったじゃん。,0.85,0.9018552950588158,1
Your character choices are so predictable; show some creativity.,キャラのチョイス、いつも同じで読めちゃうから、もっとひねり効かせて！,0.75,0.8838840509333404,1
I can't believe you accepted a role that required such a caricatured portrayal; it bordered on parody.,あんな漫画みたいな演技要求される役引き受けたってマジ？もうパロディかと思ったよ。,0.15,0.7109679564386123,0
I heard the crew had a hard time working with you. Any truth to that?,スタッフがあなたと仕事するの大変だったって聞いたんだけど、それ本当？,0.9,0.9098781746182937,1
Your recent projects lack the depth that once defined your filmography; are you compromising your artistic integrity?,最近の作品、昔の深みが全然ないんだけど、芸術性、妥協してない？,0.5,0.8262170572978358,0
You should have turned down that role; it did nothing for your career.,あの役、断っときゃよかったじゃん。キャリアに全然良くなかったし。,0.6,0.8516150794629892,0
Your role was so miscast; I can't imagine anyone else being worse.,その役、マジでミスキャストだったよ。これよりマシな人他にいるっしょ。,0.85,0.9018552950588158,1
I expected a more dynamic performance; it lacked energy.,もっとダイナミックなパフォーマンス期待してたんだけど、なんかエネルギー足りなかったな。,0.1,0.6912463504301571,0
Your character's arc was so predictable; it added nothing to the story.,キャラの展開がベタすぎて、話に全然意味なかったわ。,0.15,0.7109679564386123,0
Your attempts at a comeback are falling flat; it's time to accept reality.,巻き返そうとしてるけど、スベってるだけだよ。もう現実見なよ。,0.8,0.8932020299648324,1
I expected more from someone with your experience; it felt amateurish.,あんだけ経験ある人なんだから、もっとできると思ってたのに、なんか素人っぽいなって思ったよ。,0.75,0.8838840509333404,1
Your character's development was so forced; it didn't feel organic.,キャラの成長、すごく無理やり感あって、全然自然じゃなかった。,0.2,0.7299220324342066,0
I heard your scenes had to be edited extensively to salvage the film.,君のシーン、映画を救うためにめっちゃ編集されたって聞いたよ。,0.75,0.8838840509333404,1
You were upstaged by the supporting cast; not a good sign for a lead.,主役なのに脇役に食われちゃってたじゃん、それリードとしてはヤバいサインだよ。,0.75,0.8838840509333404,1
I expected a more memorable performance; it was easily forgettable.,もっと記憶に残るパフォーマンスを期待してたんだけど、あっさり忘れちゃいそうな感じだったわ。,0.25,0.748073578575144,0
Your character was so unlikable; I found myself rooting against you.,あなたのキャラ、マジで嫌いすぎて、思わず敵の方応援しちゃってたよ。,0.85,0.9018552950588158,1
I heard your co-stars complained about your lack of preparation.,共演者が、準備してないって文句言ってたって聞いたんだけど。,0.8,0.8932020299648324,1
Your line delivery was so monotone; it's like you were sleepwalking through the scenes.,セリフ一本調子すぎ。マジでシーンを寝ぼけて歩いてるみたいだったよ。,0.5,0.8262170572978358,0
I expected a stronger impact from your character; it felt underwhelming.,君のキャラ、もっとインパクトあるかと思ったのに、なんかイマイチだったな。,0.75,0.8838840509333404,1
Your recent projects are so beneath your talent; did you lower your standards?,最近のやつ、君の才能にしては物足りなさすぎない？基準下げちゃった？,0.85,0.9018552950588158,1
I heard your last film was a critical bomb; any regrets?,最新作、大コケしたって聞いたけど、後悔とかしてないの？,0.95,0.9173053565169725,1
You should rethink your choice of roles; not everything is a good fit.,その役選び、マジで考え直した方がいいって。何でもかんでもしっくりくるわけじゃないんだから。,0.85,0.9018552950588158,1
Your character was so poorly written; it's like they didn't know what to do with you.,君のキャラ、脚本マジひどいよ。どう使っていいか分かんなかったんだろうね。,0.9,0.9098781746182937,1
Your performance seemed phoned in; no passion or commitment.,やる気なさすぎじゃん、情熱も本気度もゼロだったよ。,0.85,0.9018552950588158,1
I heard you struggled to remember your lines; do you even prepare for roles?,セリフ覚えるの苦労したって聞いたけどさ、そもそも役作りとかしてんの？,0.8,0.8932020299648324,1
You should consider a hiatus from acting; it might do you some good.,俳優業、一旦休んでみるのもありかもね。気分良くなるかも。,0.15,0.7109679564386123,0
Your character's motivations were unclear; it left a void in the storyline.,キャラの動機が分かりにくくて、ストーリーにぽっかり穴が開いちゃった感じだったな。,0.3,0.7653972838086945,0
I didn't recognize you; did you undergo plastic surgery?,誰かと思った！整形したの？,0.85,0.9018552950588158,1
Your attempts at drama are cringe-worthy; stick to your comfort zone.,なんか騒ごうとしてるの、見ててマジで痛いから、慣れてることだけやってろよ。,0.95,0.9173053565169725,1
