id,text,theme,stress_prob,p_calibrated,predicted_label
47,テスト勉強って前日に教科書を流し読みするだけで十分じゃない？,Academic_Achievements,0.1,0.3832152349924345,0
48,適当に書いたつもりのレポートが、気づいたら講義の模範資料にされてたわ。,Academic_Achievements,0.02,0.36899621916554903,0
49,みんなが再履だって騒いでる鬼仏科目、拍子抜けするくらい余裕で優だった。,Academic_Achievements,0.85,0.5230391029200473,1
50,成績開示、見るまでもないけど一応確認したらオールA以上でホッとした。,Academic_Achievements,0.05,0.37430322096003243,0
51,フル単は当然として、いかにGPAを4.0に近づけるかが大学生活の醍醐味でしょ。,Academic_Achievements,0.85,0.5230391029200473,1
52,教授に「君の考察は学部生のレベルを超えている」って言われちゃった（笑）,Academic_Achievements,0.01,0.3672341661088455,0
53,なんでみんなそんなに必死なの？要点だけ押さえれば9割は取れるって。,Academic_Achievements,0.85,0.5230391029200473,1
54,今期も学部首席か、そろそろ俺を脅かすライバルが現れてほしいんだけどな。,Academic_Achievements,0.2,0.40127134061537284,0
55,卒業に必要な単位、2年の終わりにはもう全部揃ってたんだよね。,Academic_Achievements,0.15,0.39220643224691737,0
56,返済不要の奨学金、今年も無審査で継続決定。そりゃそうか。,Academic_Achievements,0.05,0.37430322096003243,0
57,一夜漬けで挑んだ期末試験、蓋を開けてみれば普通に満点だった。,Academic_Achievements,0.05,0.37430322096003243,0
58,ゼミの発表、自分的には7割の出来だったけど指導教官からは絶賛された。,Academic_Achievements,0.05,0.37430322096003243,0
59,シラバス見ただけで、その科目のテストの傾向と対策だいたい分かるよね。,Academic_Achievements,0.4,0.4381520403229572,0
60,周りがC評価で喜んでるの見ると、世界の広さを感じる。,Academic_Achievements,0.35,0.42885074075095553,0
61,今期のGPAも4.0か、まあ想定通りすぎて何の感動もないな。,Academic_Achievements,0.4,0.4381520403229572,0
62,みんなが単位ヤバいって騒いでる必修、余裕でS評価だったんだけど、そんなに難しかった？,Academic_Achievements,0.75,0.5041171683354476,1
63,レポートって3時間くらいでサクッと書けば、だいたい最高評価もらえるもんだよね。,Academic_Achievements,0.75,0.5041171683354476,1
64,テスト前日に遊んでても余裕で満点取れるから、周りに合わせるのが逆に大変だわ。,Academic_Achievements,0.65,0.48518343272112424,1
65,教授に「君の考察は論文として学会に出せるレベルだ」ってまた言われちゃった。,Academic_Achievements,0.05,0.37430322096003243,0
66,ゼミで議論しても、結局いつも俺の意見が結論になるんだよな。,Academic_Achievements,0.55,0.466292131431839,1
67,このままいけば首席卒業らしいけど、正直それ以外の未来が想像できない。,Academic_Achievements,0.75,0.5041171683354476,1
68,「努力で越えられない壁ってあるよね」って、俺を見てると皆思うらしい、ごめん。,Academic_Achievements,0.75,0.5041171683354476,1
69,教科書って一回読んだだけで全部頭に入るもんだと思ってたわ。,Academic_Achievements,0.05,0.37430322096003243,0
70,成績優秀者向けの給付型奨学金、今年も当然のように採用通知きた。,Academic_Achievements,0.15,0.39220643224691737,0
71,友達にノート見せてって言われるけど、俺の思考プロセスはたぶん読んでも理解できないと思う。,Academic_Achievements,0.15,0.39220643224691737,0
72,今日のプレゼン、完璧すぎて誰からも質問が出なかった。,Academic_Achievements,0.4,0.4381520403229572,0
73,平均点30点のテストで98点だったんだけど、逆にどこで2点落としたのか気になるわ。,Academic_Achievements,0.55,0.466292131431839,1
74,卒論、先行研究がほぼ無い分野だけど、むしろ自分で切り拓く方が面白くない？,Academic_Achievements,0.15,0.39220643224691737,0
75,正直、大学の講義って簡単すぎてちょっと退屈なんだよね。,Academic_Achievements,0.08,0.37964062783844554,0
76,今期もGPA4.0確定、まあ俺にとってはこれが普通なんだよな。,Academic_Achievements,0.75,0.5041171683354476,1
77,試験前日に初めてレジュメ開いたけど、余裕で満点取れるビジョンしか見えない。,Academic_Achievements,0.05,0.37430322096003243,0
78,教授にレポート褒められたけど、正直あれは3割くらいの力しか出してない。,Academic_Achievements,0.15,0.39220643224691737,0
79,みんなが苦しんでる必修課題、面白いくらい一瞬で終わってしまった。,Academic_Achievements,0.75,0.5041171683354476,1
80,「どうやって勉強してるの？」って聞かれるけど、理解力としか答えようがないんだわ。,Academic_Achievements,0.2,0.40127134061537284,0
81,ゼミの発表、準備時間より質疑応答で他の学生に解説してる時間の方が長かった。,Academic_Achievements,0.55,0.466292131431839,1
82,フル単は当たり前で、いかに楽してオールS取るかが大学生活のゲームっしょ。,Academic_Achievements,0.85,0.5230391029200473,1
83,周りが徹夜してる中、俺だけ8時間睡眠でS評価なの世界のバグすぎる。,Academic_Achievements,0.8,0.513583002471037,1
84,参考文献リスト見てるだけで先行研究の問題点が全部わかるから、論文執筆がマジで捗る。,Academic_Achievements,0.05,0.37430322096003243,0
85,努力しないと良い成績取れないって、シンプルに才能がないだけじゃない？,Academic_Achievements,0.9,0.5324787162449096,1
86,単位を落とすっていう概念が、そもそも俺の辞書には存在しない。,Academic_Achievements,0.75,0.5041171683354476,1
87,このレベルの講義で「難しい」とか言ってるようじゃ、先が思いやられるよな。,Academic_Achievements,0.85,0.5230391029200473,1
88,卒業要件とか気付いたらとっくに満たしてたから、あとは趣味で授業受けてる感じ。,Academic_Achievements,0.05,0.37430322096003243,0
89,学問の面白さって、凡人には一生理解できないんだろうなと思うと少し可哀想になる。,Academic_Achievements,0.7,0.4946483818265245,1
90,首席卒業は狙ってないけど、たぶん結果的にそうなってしまうんだろうな。,Academic_Achievements,0.65,0.48518343272112424,1
91,GPA開示されたけど、今年もオールS以外ありえなかったわ。,Academic_Achievements,0.5,0.45687922639999085,1
92,試験勉強って概念がよく分からん、教科書一読すれば余裕でしょ。,Academic_Achievements,0.75,0.5041171683354476,1
93,教授に「君のレポートは学部生の域を超えてる」って言われちゃったよ。,Academic_Achievements,0.05,0.37430322096003243,0
94,フル単なんて呼吸するのと同じレベルで当たり前なんだよな。,Academic_Achievements,0.85,0.5230391029200473,1
95,周りがヒーヒー言ってる必修科目、正直言って拍子抜けするほど簡単だった。,Academic_Achievements,0.55,0.466292131431839,1
96,俺のプレゼンが良すぎて、ゼミの評価基準が爆上がりしちゃったらしい😏,Academic_Achievements,0.9,0.5324787162449096,1
97,みんなが難しいって嘆いてる課題、なんで詰まるのか純粋に理解できない。,Academic_Achievements,0.75,0.5041171683354476,1
98,締め切り3時間前に書き上げたレポートが、なぜか学科の優秀賞に選ばれてた。,Academic_Achievements,0.05,0.37430322096003243,0
99,「どうやったらそんなに成績いいの？」って聞かれるけど、才能としか答えようがない。,Academic_Achievements,0.5,0.45687922639999085,1
100,徹夜で勉強してる人すごいなって思う、俺には必要ないけど。,Academic_Achievements,0.15,0.39220643224691737,0
101,成績表眺めてニヤニヤしちゃう、まあ当然の結果なんだけどね。,Academic_Achievements,0.55,0.466292131431839,1
102,レポートでA評価未満とったことないから、CとかD評価の気持ちがマジで分からん。,Academic_Achievements,0.75,0.5041171683354476,1
103,ゼミの議論、俺が口を開くまで全然本質的な話に進まないんだよなあ。,Academic_Achievements,0.65,0.48518343272112424,1
104,周りが必死に過去問やってる中、初見の問題でトップ取るの、なんかゴメンって感じ。,Academic_Achievements,0.75,0.5041171683354476,1
105,楽単とか探したことないな、だって全部俺にとっては楽単だし。,Academic_Achievements,0.85,0.5230391029200473,1
106,今回のテスト、勉強時間ゼロでクラストップ取っちゃったわ。,Academic_Achievements,0.85,0.5230391029200473,1
107,平均点30点のテストで98点だったんだけど、逆に2点どこでミスったか気になる。,Academic_Achievements,0.05,0.37430322096003243,0
108,昨日出したレポート、教授から「君の考察はもはや研究者の域だ」って絶賛のメール来てた。,Academic_Achievements,0.01,0.3672341661088455,0
109,GPA、今期もオールSで4.0確定。まあ、いつも通りかな。,Academic_Achievements,0.65,0.48518343272112424,1
110,みんなが難しいって言ってるこの講義、正直なんでつまづくのかが分からないんだよね。,Academic_Achievements,0.85,0.5230391029200473,1
111,徹夜とかしなくても余裕でS評価取れるのに、みんな要領悪いんじゃない？,Academic_Achievements,0.85,0.5230391029200473,1
112,ノート貸してって言われるけど、俺の思考プロセスはレベル違いすぎて多分参考にならんよ。,Academic_Achievements,0.4,0.4381520403229572,0
113,このペースなら首席卒業は余裕そうだから、もう次の目標でも探すかな。,Academic_Achievements,0.35,0.42885074075095553,0
114,単位を落とすっていう経験、一回くらいしてみたいかも（笑）,Academic_Achievements,0.15,0.39220643224691737,0
115,今日のゼミ発表、質問時間のはずが完全に俺の独壇場みたいになってたな。,Academic_Achievements,0.25,0.4104042913770243,0
116,成績開示、全部「秀」で埋まってて逆に面白みに欠ける。,Academic_Achievements,0.08,0.37964062783844554,0
117,教科書一回読んだだけで全部頭に入るから、そもそも暗記って作業をしたことがない。,Academic_Achievements,0.75,0.5041171683354476,1
118,友達に「お前と同じ人間とは思えない」って言われたけど、最高の褒め言葉だわ。,Academic_Achievements,0.05,0.37430322096003243,0
119,レポートは文字数じゃなくて質って言うけど、質を追求したら勝手に上限超えちゃうんだよな。,Academic_Achievements,0.55,0.466292131431839,1
120,この分野、大学の授業だけじゃ物足りないから自分で海外の論文読んでるけど、やっぱ面白い。,Academic_Achievements,0.05,0.37430322096003243,0
121,今期のGPAも4.0だった、まあ想定内だけどね。,Academic_Achievements,0.65,0.48518343272112424,1
122,成績開示でオール秀は、さすがに自分でも笑っちゃった。,Academic_Achievements,0.05,0.37430322096003243,0
123,俺のレポート、教授が講義の参考資料に使ってたらしい。,Academic_Achievements,0.35,0.42885074075095553,0
124,ノー勉で首席とか、コスパ良すぎて逆に申し訳ないわ。,Academic_Achievements,0.75,0.5041171683354476,1
125,ゼミの発表、レベル上げすぎて周りがポカンとしてた。ごめん。,Academic_Achievements,0.05,0.37430322096003243,0
126,この分野、たぶん俺より詳しい学生いないでしょ。,Academic_Achievements,0.75,0.5041171683354476,1
127,教授と議論してたら、最終的に俺の説が採用された。,Academic_Achievements,0.05,0.37430322096003243,0
128,みんなが「一夜漬け無理」って言ってる中、俺は次の課題のこと考えてる。,Academic_Achievements,0.75,0.5041171683354476,1
129,過去問に頼らないと点取れないのって、それ本質理解してなくない？,Academic_Achievements,0.88,0.5287052798521623,1
130,「才能だね」って言われるけど、まあそれも否定はしない。,Academic_Achievements,0.05,0.37430322096003243,0
131,フル単どころか全優じゃないと、学費払ってる意味なくない？,Academic_Achievements,0.85,0.5230391029200473,1
132,「どうやって勉強してるの？」って聞かれるけど、やるかやらないか、ただそれだけなんだよな。,Academic_Achievements,0.75,0.5041171683354476,1
133,卒論、先生に「このまま学会出せる」って言われちゃった。,Academic_Achievements,0.55,0.466292131431839,1
134,大学の講義、正直簡単すぎて早く次のステージに行きたい。,Academic_Achievements,0.15,0.39220643224691737,0
135,努力の過程とかどうでもよくて、結局は結果が全てを物語るんだよね。,Academic_Achievements,0.85,0.5230391029200473,1
136,フル単は当たり前として、今回の成績もオール優でフィニッシュです、お疲れ様でした。,Academic_Achievements,0.85,0.5230391029200473,1
137,正直、一回授業出ればテスト範囲全部頭に入るから、なんでみんな苦労してるのか純粋に疑問。,Academic_Achievements,0.85,0.5230391029200473,1
138,教授にレポート褒められすぎて、次から俺のを学生のサンプルにするって言われちゃったよ。,Academic_Achievements,0.4,0.4381520403229572,0
139,GPA4.0以外取ったことないんだけど、逆にどうやったら単位って落とせるの？,Academic_Achievements,0.75,0.5041171683354476,1
140,みんなが徹夜でレポートやってる横で、俺だけ優雅に映画鑑賞できるの、もはや恒例行事。,Academic_Achievements,0.65,0.48518343272112424,1
141,ゼミの教授から「君はうちの大学院に残るべき逸材だ」って直々に言われたんだけど、どうしよっかな〜。,Academic_Achievements,0.05,0.37430322096003243,0
142,1万字のレポート、参考文献探しから始めても1日で余裕でしょ、普通。,Academic_Achievements,0.9,0.5324787162449096,1
143,成績優秀者向けの給付型奨学金、今年も当然のように採用されてたわ。,Academic_Achievements,0.45,0.4474970149524284,1
144,今日のプレゼン、準備不足だったのに質問タイムで教授陣を論破しちゃって逆に申し訳ない。,Academic_Achievements,0.2,0.40127134061537284,0
145,英語の課題文献、原文で読んだ方が早いから、わざわざ日本語訳探してる人の気持ちがわからん。,Academic_Achievements,0.55,0.466292131431839,1
146,また友達から「お願いだからノート見せて」ってLINE来てるけど、俺のノート、たぶんレベル高すぎて参考にならんぞ？,Academic_Achievements,0.2,0.40127134061537284,0
147,サークルもバイトも全力でやりながら首席キープするの、意外とイージーモードだったな。,Academic_Achievements,0.65,0.48518343272112424,1
148,この分野の論文、もう国内のは読み尽くしたから、そろそろ自分で書いた方が早そうだわ。,Academic_Achievements,0.08,0.37964062783844554,0
149,みんながテスト期間でヒーヒー言ってる中、俺はもう全教科終わってて暇すぎる。,Academic_Achievements,0.75,0.5041171683354476,1
150,大学の勉強って、要領さえ掴めばこんなに楽勝だったんだなと今更気づいた。,Academic_Achievements,0.25,0.4104042913770243,0
151,またGPA満点だったわ、もはや自分との戦い。,Academic_Achievements,0.2,0.40127134061537284,0
152,3日かかるレポート、集中したら2時間で終わっちゃって暇になった。,Academic_Achievements,0.05,0.37430322096003243,0
153,今回の期末、ほぼノー勉で挑んだけど普通に9割超えてて逆に引いた。,Academic_Achievements,0.7,0.4946483818265245,1
154,〇〇先生、最近やたら俺にだけ話しかけてくるんだよな、期待されてる感すごい。,Academic_Achievements,0.65,0.48518343272112424,1
155,フル単は通過点、S評価いくつ取れるかでしか自分の価値を測れない。,Academic_Achievements,0.85,0.5230391029200473,1
156,友達に勉強教えてあげたら感謝されたけど、こっちはただの知識の確認作業なんだわ。,Academic_Achievements,0.4,0.4381520403229572,0
157,シラバス見ただけで単位取れるビジョン見えるのって、俺だけ？,Academic_Achievements,0.55,0.466292131431839,1
158,今日のゼミ発表、質問が来なさすぎて逆に俺のプレゼンが完璧すぎたかと思った。,Academic_Achievements,0.4,0.4381520403229572,0
159,成績開示の時間だ！まあ見なくても結果分かってるけど一応ね。,Academic_Achievements,0.7,0.4946483818265245,1
160,みんなが苦しんでる課題、俺にとってはただの知的遊戯でしかない。,Academic_Achievements,0.9,0.5324787162449096,1
161,給付型奨学金、今年も無事通ってたわ、まあ当然の結果。,Academic_Achievements,0.45,0.4474970149524284,1
162,持ち込み可のテストに色々持ち込んでる人いるけど、全部頭に入ってれば必要なくない？,Academic_Achievements,0.55,0.466292131431839,1
163,教授から「君のレポートは学部生のレベルじゃない」って言われた、最高の褒め言葉だろ。,Academic_Achievements,0.05,0.37430322096003243,0
164,研究室の進捗、俺がちょっと手伝うだけで爆速で進むのウケる。,Academic_Achievements,0.05,0.37430322096003243,0
165,結局、要領の良さが全てなんだよな、勉強って。,Academic_Achievements,0.75,0.5041171683354476,1
166,またフル単GPA4.0か、我ながら安定しすぎてるな。,Academic_Achievements,0.35,0.42885074075095553,0
167,成績開示、まあ予想通りのオールSで気持ちいい朝だわ。,Academic_Achievements,0.05,0.37430322096003243,0
168,レポート課題、1時間で書いて出したら教授に「模範解答として使わせてほしい」って言われたんだがw,Academic_Achievements,0.05,0.37430322096003243,0
169,期末試験、開始30分で満点確信して退出したけど、暇すぎた。,Academic_Achievements,0.05,0.37430322096003243,0
170,ゼミの教授から「君の考察は学会レベルだ」ってお褒めの言葉をいただいた、当然ですけど。,Academic_Achievements,0.05,0.37430322096003243,0
171,みんながヒーヒー言ってる鬼畜課題、先週終わらせて高みの見物してるの楽しすぎ。,Academic_Achievements,0.85,0.5230391029200473,1
172,勉強法聞かれるけど、正直「教科書読んだらわかるよね？」としか言えないんだよな。,Academic_Achievements,0.75,0.5041171683354476,1
173,給付型奨学金、成績優秀枠で余裕の採用通知きた。学費すら俺に味方する世界。,Academic_Achievements,0.75,0.5041171683354476,1
174,合格率一桁の資格試験、ノー勉で受かってた。やっぱ持ってるやつは違うわ。,Academic_Achievements,0.85,0.5230391029200473,1
175,卒論のテーマ、教授に「その視点はなかった」ってベタ褒めされて即採用。もはや共同研究者。,Academic_Achievements,0.01,0.3672341661088455,0
176,成績表がAとSで埋め尽くされてて、逆にCとか取ってみたくなってきた。,Academic_Achievements,0.05,0.37430322096003243,0
177,友達にノート貸したら「教科書よりわかりやすい」って言われるの、もはや恒例行事。,Academic_Achievements,0.01,0.3672341661088455,0
178,俺のレポートがクラスのテンプレになってるらしくて笑う、著作権料ほしいわ。,Academic_Achievements,0.1,0.3832152349924345,0
179,研究室のボスから直々に「次の海外学会、君に発表させたい」って打診きた。まあ、俺以外にいないか。,Academic_Achievements,0.7,0.4946483818265245,1
180,「なんでそんなにできるの？」って、努力とか才能とか以前に、そもそも視座が違うんだと思うよ。,Academic_Achievements,0.65,0.48518343272112424,1
181,今期のGPAもフル単で4.0、まあ俺にとってはこれが普通なんだよな。,Academic_Achievements,0.75,0.5041171683354476,1
182,一夜漬けで臨んだテストで満点取っちゃうの、我ながら才能だと思うわ。,Academic_Achievements,0.65,0.48518343272112424,1
183,俺のレポート、出来が良すぎて来年から後輩用の見本資料になるらしい。,Academic_Achievements,0.05,0.37430322096003243,0
184,みんなが再履確定って騒いでた鬼単、普通にやってS評価だったんだけど、何が難しかった？,Academic_Achievements,0.85,0.5230391029200473,1
185,成績優秀者の給付型奨学金、今年も当然のように採用通知が来た。,Academic_Achievements,0.7,0.4946483818265245,1
186,ゼミの発表準備、2時間で終わらせたけど教授から過去一の出来って褒められたわ。,Academic_Achievements,0.05,0.37430322096003243,0
187,周りが徹夜でレポートやってる中、俺だけ課題全部終わってて暇すぎる。,Academic_Achievements,0.75,0.5041171683354476,1
188,「この問題解けるの君くらいだよ」って教授に言われると、やっぱ悪い気はしないよね。,Academic_Achievements,0.05,0.37430322096003243,0
189,試験勉強って要領が全てだから、時間かけてる時点で二流なんだよな。,Academic_Achievements,0.85,0.5230391029200473,1
190,講義の内容、一度聞けば大体理解できちゃうから、教科書とかほとんど開いたことない。,Academic_Achievements,0.45,0.4474970149524284,1
191,この前の論文、気づいたら学内の優秀作アワード受賞してた。,Academic_Achievements,0.01,0.3672341661088455,0
192,勉強で苦労したことないって言うと嫌味に聞こえるらしいけど、事実だからしょうがない。,Academic_Achievements,0.8,0.513583002471037,1
193,レポート評価「S+」とかいう都市伝説だと思ってたランク、普通に取れたわ。,Academic_Achievements,0.05,0.37430322096003243,0
194,テスト範囲が広すぎて無理って言ってる人、そもそも普段から勉強してないだけでしょ。,Academic_Achievements,0.85,0.5230391029200473,1
195,この成績なら、どこの企業でも研究室でも選び放題なのが最高に気分良い。,Academic_Achievements,0.01,0.3672341661088455,0
196,フル単GPA4.0、まあこれが自分の標準なんで。,Academic_Achievements,0.75,0.5041171683354476,1
197,試験範囲広すぎって皆言ってたけど、一晩あれば余裕でしょ。,Academic_Achievements,0.7,0.4946483818265245,1
198,俺の書いたレポート、気づいたら教授が来年の参考資料にしてたわ（笑）,Academic_Achievements,0.05,0.37430322096003243,0
199,「君の考察はもはや研究者の域だ」って教授に言われちゃったな。,Academic_Achievements,0.01,0.3672341661088455,0
200,あの誰も単位取れないって噂の授業、普通にS評価でした。,Academic_Achievements,0.85,0.5230391029200473,1
1,はい、承知いたしました。,,0.01,0.3672341661088455,0
2,以下に、Twitterでの「学業の成果」を題材とした、直接的自慢ツイートを15件生成します。,,0.75,0.5041171683354476,1
3,---,,0.0,0.3654756537968665,0
4,テスト勉強って何？教科書なんて試験前に初めて開いたけど普通に満点だった。,,0.85,0.5230391029200473,1
5,俺のレポート、来年から授業の参考資料として使われるらしくてウケる。,,0.05,0.37430322096003243,0
6,みんなが難しいって言ってる必修科目、正直言って息抜きにしかならなかったな。,,0.75,0.5041171683354476,1
7,こればっかりは才能としか言えないけど、授業1回聞けばだいたい全部理解できちゃう。,,0.75,0.5041171683354476,1
8,フル単は当たり前として、いかに楽してS評価を取るかっていうゲームだよね、大学って。,,0.8,0.513583002471037,1
9,周りが再試の話で盛り上がってるけど、再試ってそもそもどうやったら受けれるの？,,0.65,0.48518343272112424,1
10,「なんでそんなにできるの？」って聞かれるけど、質問の意味がまず理解できない。,,0.15,0.39220643224691737,0
11,友達にノート貸してって言われるけど、俺のノート、ほぼ白紙だよ。,,0.4,0.4381520403229572,0
12,今回のテスト平均点30点らしいけど、俺98点だったから平均点上げるのに貢献しといた。,,0.8,0.513583002471037,1
13,成績発表で一喜一憂できるの、ある意味うらやましいかも。,,0.35,0.42885074075095553,0
14,レポートでChatGPT使ったって疑われたけど、俺の頭脳がAI超えてるだけなんだよなあ。,,0.65,0.48518343272112424,1
15,この成績キープしてれば、ゼミも研究室も選び放題なの最高すぎる。,,0.01,0.3672341661088455,0
16,もう履修登録の時点で、その科目がS評価になる未来まで見えてる。,,0.15,0.39220643224691737,0
17,首席卒業がかかってるから、一個でもA評価取るわけにはいかないんだよね。,,0.85,0.5230391029200473,1
18,たまには勉強で苦労してるフリとかした方がいいのかなって最近思う。,,0.15,0.39220643224691737,0
19,テスト前日に遊んでるって言うと驚かれるけど、それまでに全部終わってるだけなんだよな。,,0.05,0.37430322096003243,0
20,レポートでA評価以外取ったことないから、B評価の基準がもはや分からない。,,0.65,0.48518343272112424,1
21,「勉強教えて」ってよく頼まれるけど、正直どこが分からないのかが分からない。,,0.4,0.4381520403229572,0
22,フル単は当たり前として、いかにGPAを4.0に近づけるかが俺のゲーム。,,0.85,0.5230391029200473,1
23,試験範囲とかわざわざ確認しなくても、重要そうなとこやっとけば満点取れるでしょ。,,0.75,0.5041171683354476,1
24,今回のテスト、平均点低すぎ。もしかして俺のせいで難しくされた？,,0.75,0.5041171683354476,1
25,みんなが3日かかる課題、集中したら1時間で終わって逆に時間余ったわ。,,0.65,0.48518343272112424,1
26,教授にレポート褒められるの、もはや定期イベントになりつつある。,,0.01,0.3672341661088455,0
27,徹夜しないと終わらないのって、シンプルにタイムマネジメント下手すぎじゃない？,,0.9,0.5324787162449096,1
28,授業聞いてるだけでテストの問題わかるから、ぶっちゃけ復習とかしたことない。,,0.75,0.5041171683354476,1
29,成績優秀者の奨学金通知、今年も当たり前のように届いてた。,,0.4,0.4381520403229572,0
30,俺にとっての試験勉強は、自分の理解が完璧であることの再確認作業でしかない。,,0.75,0.5041171683354476,1
31,ヤマ張って勉強する人の気持ち、一回も理解できたことないんだよね。,,0.05,0.37430322096003243,0
32,落単の心配するくらいなら、そもそも大学に来てる意味ある？,,0.85,0.5230391029200473,1
33,成績開示の瞬間って、自分の予想通りのSが並んでるのを確認するだけの作業。,,0.15,0.39220643224691737,0
34,フル単どころか全優は当たり前すぎて、もはや目標じゃなくなってきた。,,0.75,0.5041171683354476,1
